Office Name,Office Type,Public Phone Number,Public Phone Extension,Street Address Line 1,Street Address Line 2,City,State,Zip Code,Monday Beginning Hours,Monday Ending Hours,Tuesday Beginning Hours,Tuesday Ending Hours,Wednesday Beginning Hours,Wednesday Ending Hours,Thursday Beginning Hours,Thursday Ending Hours,Friday Beginning Hours,Friday Ending Hours,Saturday Beginning Hours,Saturday Ending Hours,Has Kiosk?,Latitude,Longitude,Location
ALBION,CO,5855893214,,14016 Route 31W,,Albion,NY,14411,9:00 AM,4:30 PM,9:00 AM,4:30 PM,9:00 AM,4:30 PM,9:00 AM,4:30 PM,9:00 AM,4:30 PM,,,N,43.238145,-78.214506,"(43.238145, -78.214506)"
ALBANY,DO,5184869786,,224-260 S. Pearl Street,,Albany,NY,12202,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,10:00 AM,6:00 PM,8:30 AM,4:00 PM,,,N,42.642577,-73.756299,"(42.642577, -73.756299)"
AMHERST - NORTHTOWN PLAZA,CO,7168587450,,3095-A Sheridan Drive,,Amherst,NY,14226,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,,,N,42.980445,-78.819265,"(42.980445, -78.819265)"
AUBURN,CO,3152531241,,160 Genesee Street,,Auburn,NY,13021,9:00 AM,4:30 PM,9:00 AM,4:30 PM,9:00 AM,4:30 PM,9:00 AM,6:00 PM,9:00 AM,4:30 PM,,,N,42.929729,-76.569901,"(42.929729, -76.569901)"
BRONX T V B,TV,7184885710,,696 East Fordham Road,,Bronx,NY,10458,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,6:00 PM,8:30 AM,4:00 PM,,,N,,,
BEACON,CO,8458384891,,223 Main Street,,Beacon,NY,12508,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,,,N,41.506693,-73.973895,"(41.506693, -73.973895)"
BUFFALO T V B,TV,7168518257,,295 Main Street,Room 360,Buffalo,NY,14203,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,,,N,,,
BELMONT,CO,5852689267,,7 Court Street,Court House,Belmont,NY,14813,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,N,42.224775,-78.033519,"(42.224775, -78.033519)"
BALLSTON SPA,CO,5188852227,,40 McMaster Street,,Ballston Spa,NY,12020,8:00 AM,4:45 PM,8:00 AM,4:45 PM,8:00 AM,6:00 PM,8:00 AM,4:45 PM,8:00 AM,4:45 PM,,,N,42.998908,-73.850503,"(42.998908, -73.850503)"
BROOME COUNTY MOBILE,MO,6077782337,,Headquartered at,181 Clinton St,Binghamton,NY,13905,???????,???????,10:00 AM,3:00 PM,10:00 AM,3:00 PM,???????,???????,10:00 AM,3:00 PM,,,N,,,
BROOKLYN NORTH T V B,TV,7184885710,,Atlantic Center Mall,"625 Atlantic Ave, 2nd Fl",Brooklyn,NY,11217,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,6:00 PM,8:30 AM,4:00 PM,,,N,,,
BINGHAMTON,CO,6077782337,,81 Chenango St,,Binghamton,NY,13901,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,,,N,42.101498,-75.910182,"(42.101498, -75.910182)"
BROOKLYN - ATLANTIC CENTER,DO,7189666155,,625 Atlantic Ave 2nd Fl,,Brooklyn,NY,11217,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,,,N,40.684913,-73.975939,"(40.684913, -73.975939)"
BRONX,DO,7184774820,,696 East Fordham Road,,Bronx,NY,10458,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,10:00 AM,6:00 PM,8:30 AM,4:00 PM,,,N,40.856969,-73.882544,"(40.856969, -73.882544)"
BROOKLYN SOUTH T V B,TV,7184885710,,2875 West 8th Street,,Brooklyn,NY,11224,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,6:00 PM,8:30 AM,4:00 PM,,,N,,,
