Year,Month,County ,2010 Census Population,Population 18+ Estimate,Active Registered Voters,Inactive Registered Voters,Total Registered Voters
2015,4,Albany,304204,236306,16079,173555,189634
2015,4,Allegany,48946,38021,24459,1256,25715
2015,4,Bronx,1385108,1075952,625428,107485,732913
2015,4,Broome,200600,155826,110412,9602,120014
2015,4,Cattaraugus,80317,62390,44342,5012,49354
2015,4,Cayuga,80026,62164,44425,7096,51521
2015,4,Chautauqua,134905,104794,76721,4865,81586
2015,4,Chemung,88830,69003,49791,3182,52973
2015,4,Chenango,50477,39211,28116,1809,29925
2015,4,Clinton,82128,63797,45071,2892,47963
2015,4,Columbia,63096,49013,39380,3184,42564
2015,4,Cortland,49336,38324,26838,2817,29655
2015,4,Delaware,47980,37271,26112,1669,27781
2015,4,Dutchess,297488,231089,168582,19848,188430
2015,4,Erie,919040,713910,568607,32468,601075
2015,4,Essex,39370,30583,23582,2106,25688
2015,4,Franklin,51599,40082,24967,1826,26793
2015,4,Fulton,55531,43136,31271,1074,32345
2015,4,Genesee,60079,46669,35276,1551,36827
2015,4,Greene,49221,38235,28929,1607,30536
2015,4,Hamilton,4836,3757,4296,416,4712
2015,4,Herkimer,64519,50118,37291,3166,40457
2015,4,Jefferson,116229,90287,53472,7421,60893
2015,4,Kings,2504700,1945651,1273395,151654,1425049
2015,4,Lewis,27087,21041,16544,712,17256
2015,4,Livingston,65393,50797,36630,2048,38678
2015,4,Madison,73442,57050,39741,2228,41969
2015,4,Monroe,744344,578206,430818,25497,456315
2015,4,Montgomery,50219,39010,27162,1640,28802
2015,4,Nassau,1339532,1040548,948779,26736,975515
2015,4,New York,1585873,1231906,880362,179217,1059579
2015,4,Niagara,216469,168153,126295,9243,135538
2015,4,Oneida,234878,182453,123655,10336,133991
2015,4,Onondaga,467026,362786,271728,21427,293155
2015,4,Ontario,107931,83841,65458,2204,67662
2015,4,Orange,372813,289601,204400,12283,216683
2015,4,Orleans,42883,33312,21729,1924,23653
2015,4,Oswego,122109,94854,69128,3268,72396
2015,4,Otsego,62259,48363,32781,2369,35150
2015,4,Putnam,99710,77455,59585,3344,62929
2015,4,Queens,2230722,1732825,1018931,90621,1109552
2015,4,Rensselaer,159429,123844,92089,5624,97713
2015,4,Richmond,468730,364109,262701,19534,282235
2015,4,Rockland,311687,242118,179131,9813,188944
2015,4,Saratoga,219607,170591,141972,10543,152515
2015,4,Schenectady,154727,120192,89520,5574,95094
2015,4,Schoharie,32749,25439,17877,2350,20227
2015,4,Schuyler,18343,14249,11530,616,12146
2015,4,Seneca,35251,27383,19039,1175,20214
2015,4,St. Lawrence,111944,86958,57537,3484,61021
2015,4,Steuben,98990,76895,56135,3176,59311
2015,4,Suffolk,1493350,1160034,907538,40363,947901
2015,4,Sullivan,77547,60239,43559,5821,49380
2015,4,Tioga,51125,39714,30019,1755,31774
2015,4,Tompkins,101564,78895,49592,6144,55736
2015,4,Ulster,182493,141761,109304,6820,116124
2015,4,Warren,65707,51041,40216,3042,43258
2015,4,Washington,63216,49106,33463,1858,35321
2015,4,Wayne,93772,72842,52965,2688,55653
2015,4,Westchester,949113,737271,540185,47328,587513
2015,4,Wyoming,42155,32746,23325,1666,24991
2015,4,Yates,25348,19690,13311,1106,14417
