County,DMV Count,DMV Per Capita Index,Population 18+ Estimate
Albany,2,0.846360228,236306
Allegany,0,0,38021
Bronx,3,0.278822847,1075952
Broome,3,1.925224289,155826
Cattaraugus,3,4.808462895,62390
Cayuga,1,1.608648092,62164
Chautauqua,3,2.862759318,104794
Chemung,1,1.449212353,69003
Chenango,1,2.550304761,39211
Clinton,1,1.567471825,63797
Columbia,1,2.040275029,49013
Cortland,1,2.609330968,38324
Delaware,4,10.73220466,37271
Dutchess,5,2.163668543,231089
Erie,10,1.400736788,713910
Essex,2,6.539580813,30583
Franklin,3,7.484656454,40082
Fulton,2,4.636498516,43136
Genesee,1,2.142750005,46669
Greene,1,2.615404734,38235
Hamilton,1,26.61698163,3757
Herkimer,2,3.990582226,50118
Jefferson,2,2.215158328,90287
Kings,4,0.205586716,1945651
Lewis,1,4.752625826,21041
Livingston,2,3.937240388,50797
Madison,1,1.752848379,57050
Monroe,7,1.21064119,578206
Montgomery,1,2.56344527,39010
Nassau,3,0.288309622,1040548
New York,7,0.568225173,1231906
Niagara,3,1.78408949,168153
Oneida,3,1.64425907,182453
Onondanga,3,0.826933785,362786
Orange,3,1.035908025,289601
Orleans,1,3.00192123,33312
Oswego,2,2.108503595,94854
Otsego,2,4.135392759,48363
Putnam,1,1.291072236,77455
Queens,6,0.346255392,1732825
Rensselaer,2,1.614934918,123844
Rockland,1,#DIV/0!,0
Richmond,0,0,364109
Saratoga,3,1.758592188,170591
Schenectady,1,0.83200213,120192
Schoharie,1,3.930972129,25439
Schuyler,1,7.018036353,14249
Seneca,1,3.651900814,27383
St. Lawrence,4,4.599921801,86958
Staten Island,2,#DIV/0!,0
Steuben,3,3.90142402,76895
Suffolk,6,0.517226219,1160034
Sullivan,2,3.320108236,60239
Tioga,1,2.518003727,39714
Tompkins,1,1.267507447,78895
Ulster,2,1.410825262,141761
Warren,1,1.959209263,51041
Washington,1,2.036411029,49106
Wayne,1,1.372834354,72842
Westchester,4,0.542541345,737271
Wyoming,1,3.053808099,32746
Yates,1,5.078720163,19690
TOTAL NYS,143,0.949982618,15052907
Ontario,2,2.385467731,83841
