Office Name,Office Type,Public Phone Number,Public Phone Extension,Street Address Line 1,Street Address Line 2,City,County,State,Zip Code,Monday Beginning Hours,Monday Ending Hours,Tuesday Beginning Hours,Tuesday Ending Hours,Wednesday Beginning Hours,Wednesday Ending Hours,Thursday Beginning Hours,Thursday Ending Hours,Friday Beginning Hours,Friday Ending Hours,Saturday Beginning Hours,Saturday Ending Hours,Has Kiosk?,Latitude,Longitude,Location
ALBANY,DO,5184869786,,224-260 S. Pearl Street,,Albany,Albany,NY,12202,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,10:00 AM,6:00 PM,8:30 AM,4:00 PM,,,N,42.642577,-73.756299,"(42.642577, -73.756299)"
ALBION,CO,5855893214,,14016 Route 31W,,Albion,Orleans,NY,14411,9:00 AM,4:30 PM,9:00 AM,4:30 PM,9:00 AM,4:30 PM,9:00 AM,4:30 PM,9:00 AM,4:30 PM,,,N,43.238145,-78.214506,"(43.238145, -78.214506)"
AMHERST - NORTHTOWN PLAZA,CO,7168587450,,3095-A Sheridan Drive,,Amherst,Erie,NY,14226,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,,,N,42.980445,-78.819265,"(42.980445, -78.819265)"
EVANS,CO,7168587450,,8787 Erie Rd,,Angola,Erie,NY,14006,8:00 AM,3:45 PM,8:00 AM,3:45 PM,9:00 AM,4:45 PM,8:00 AM,3:45 PM,8:00 AM,3:45 PM,,,N,42.655677,-79.03626,"(42.655677, -79.03626)"
AUBURN,CO,3152531241,,160 Genesee Street,,Auburn,Cayuga,NY,13021,9:00 AM,4:30 PM,9:00 AM,4:30 PM,9:00 AM,4:30 PM,9:00 AM,6:00 PM,9:00 AM,4:30 PM,,,N,42.929729,-76.569901,"(42.929729, -76.569901)"
BALLSTON SPA,CO,5188852227,,40 McMaster Street,,Ballston Spa,Saratoga,NY,12020,8:00 AM,4:45 PM,8:00 AM,4:45 PM,8:00 AM,6:00 PM,8:00 AM,4:45 PM,8:00 AM,4:45 PM,,,N,42.998908,-73.850503,"(42.998908, -73.850503)"
BATAVIA,CO,5853442550,2247,15 Main Street,,Batavia,Genesee,NY,14020,8:30 AM,4:45 PM,8:30 AM,4:45 PM,8:30 AM,4:45 PM,8:30 AM,4:45 PM,8:30 AM,4:45 PM,,,N,42.998605,-78.187941,"(42.998605, -78.187941)"
BATH,CO,6077769631,2029,3 East Pulteney Sq,,Bath,Steuben,NY,14810,8:30 AM,4:45 PM,8:30 AM,4:45 PM,8:30 AM,4:45 PM,8:30 AM,4:45 PM,8:30 AM,4:45 PM,,,N,42.333042,-77.316247,"(42.333042, -77.316247)"
BEACON,CO,8458384891,,223 Main Street,,Beacon,Dutchess,NY,12508,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,9:00 AM,4:45 PM,,,N,41.506693,-73.973895,"(41.506693, -73.973895)"
BELMONT,CO,5852689267,,7 Court Street,Court House,Belmont,Franklin,NY,14813,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,N,42.224775,-78.033519,"(42.224775, -78.033519)"
BETHPAGE,DO,7184774820,,4031 Hempstead Turnpike,,Bethpage,Nassau,NY,11714-560,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,10:00 AM,6:00 PM,8:30 AM,4:00 PM,,,N,40.725931,-73.486672,"(40.725931, -73.486672)"
BROOME COUNTY MOBILE,MO,6077782337,,Headquartered at,181 Clinton St,Binghamton,Broome,NY,13905,???????,???????,10:00 AM,3:00 PM,10:00 AM,3:00 PM,???????,???????,10:00 AM,3:00 PM,,,N,,,
BINGHAMTON,CO,6077782337,,81 Chenango St,,Binghamton,Broome,NY,13901,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,,,N,42.101498,-75.910182,"(42.101498, -75.910182)"
BREWSTER,CO,8452782838,,1 Geneva Road,,Brewster,Putnam,NY,10509,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,,,N,41.428313,-73.626621,"(41.428313, -73.626621)"
BRONX T V B,TV,7184885710,,696 East Fordham Road,,Bronx,Bronx,NY,10458,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,6:00 PM,8:30 AM,4:00 PM,,,N,,,
BRONX,DO,7184774820,,696 East Fordham Road,,Bronx,Bronx,NY,10458,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,10:00 AM,6:00 PM,8:30 AM,4:00 PM,,,N,40.856969,-73.882544,"(40.856969, -73.882544)"
BRONX LICENSE CENTER,DO,7189666155,,1350 Commerce Ave,,Bronx,Bronx,NY,10461,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,,,N,40.837321,-73.840317,"(40.837321, -73.840317)"
BROOKLYN NORTH T V B,TV,7184885710,,Atlantic Center Mall,"625 Atlantic Ave, 2nd Fl",Brooklyn,Kings,NY,11217,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,6:00 PM,8:30 AM,4:00 PM,,,N,,,
BROOKLYN - ATLANTIC CENTER,DO,7189666155,,625 Atlantic Ave 2nd Fl,,Brooklyn,Kings,NY,11217,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,,,N,40.684913,-73.975939,"(40.684913, -73.975939)"
BROOKLYN SOUTH T V B,TV,7184885710,,2875 West 8th Street,,Brooklyn,Kings,NY,11224,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,6:00 PM,8:30 AM,4:00 PM,,,N,,,
BROOKLYN - CONEY ISLAND,DO,7189666155,,2875 W. 8th Street,,Brooklyn,Kings,NY,11224,8:30 AM,4:00 PM,8:30 AM,4:00 PM,8:30 AM,4:00 PM,10:00 AM,6:00 PM,8:30 AM,4:00 PM,,,N,40.577894,-73.975507,"(40.577894, -73.975507)"
