Organ Procurement Organization,latitude,longitude
"LifeCenter Northwest Organ Donation Network (WALC), Bellevue, WA *  ",47.610377,-122.2006786
"Alabama Organ Center (ALOB), Birmingham, AL  ",33.5206608,-86.80249
"Arkansas Regional Organ Recovery Agency (AROR), Little Rock, AR  ",34.7464809,-92.2895948
"Mid-America Transplant Services (MOMA), St Louis, MO *  ",38.6270025,-90.1994042
"Mid-South Transplant Foundation (TNMS), Memphis, TN *  ",35.1495343,-90.0489801
"Southwest Transplant Alliance (TXSB), Dallas, TX *  ",32.7766642,-96.7969879
"Donor Network of Arizona (AZOB), Phoenix, AZ  ",33.4483771,-112.0740373
"California Transplant Donor Network (CADN), Oakland, CA  ",37.8043637,-122.2711137
"Golden State Donor Services (CAGS), Sacramento, CA  ",38.5815719,-121.4943996
"OneLegacy (CAOP), Los Angeles, CA  ",34.0522342,-118.2436849
"Lifesharing - A Donate Life Organization (CASD), San Diego, CA  ",32.715738,-117.1610838
"Donor Alliance (CORS), Denver, CO  ",39.7392358,-104.990251
"LifeChoice Donor Services (CTOP), Windsor, CT  ",41.8525984,-72.6437022
"New England Organ Bank (MAOB), Waltham, MA *  ",42.3764852,-71.2356113
"Washington Regional Transplant Community (DCTC), Annandale, VA *  ",38.8303905,-77.1963703
"Gift of Life Donor Program (PADV), Philadelphia, PA *  ",39.9525839,-75.1652215
"TransLife (FLFH), Winter Park, FL  ",28.5999998,-81.3392352
"Life Alliance Organ Recovery Agency (FLMP), Miami, FL  ",25.7616798,-80.1917902
"LifeQuest Organ Recovery Services (FLUF), Gainesville, FL  ",29.6516344,-82.3248262
"LifeLink of Florida (FLWC), Tampa, FL  ",27.950575,-82.4571776
"LifeLink of Georgia (GALL), Norcross, GA  ",33.9412127,-84.2135309
"Alabama Organ Center (ALOB), Birmingham, AL *  ",33.5206608,-86.80249
"Tennessee Donor Services (TNDS), Nashville, TN *  ",36.1626638,-86.7816016
"Organ Donor Center of Hawaii (HIOP), Honolulu, HI  ",21.3069444,-157.8583333
"Iowa Donor Network (IAOP), North Liberty, IA  ",41.739482,-91.6080974
"Nebraska Organ Recovery System (NEOR), Omaha, NE *  ",41.2523634,-95.9979883
