State,Organ Procurement Organization,Out Of State,Out of State Code,Latitude,Longitude
Alaska,"LifeCenter Northwest Organ Donation Network (WALC), Bellevue, WA *  ",1,WA,,
Alabama,"Alabama Organ Center (ALOB), Birmingham, AL  ",0,,,
Arkansas,"Arkansas Regional Organ Recovery Agency (AROR), Little Rock, AR  ",0,,,
Arkansas ,"Mid-America Transplant Services (MOMA), St Louis, MO *  ",1,MO,,
Arkansas ,"Mid-South Transplant Foundation (TNMS), Memphis, TN *  ",1,TN,,
Arkansas,"Southwest Transplant Alliance (TXSB), Dallas, TX *  ",1,TX,,
Arizona,"Donor Network of Arizona (AZOB), Phoenix, AZ  ",0,,,
California,"California Transplant Donor Network (CADN), Oakland, CA  ",0,,,
California,"Golden State Donor Services (CAGS), Sacramento, CA  ",0,,,
California,"OneLegacy (CAOP), Los Angeles, CA  ",0,,,
California,"Lifesharing - A Donate Life Organization (CASD), San Diego, CA  ",0,,,
Colorado,"Donor Alliance (CORS), Denver, CO  ",0,,,
Connecticut,"LifeChoice Donor Services (CTOP), Windsor, CT  ",0,,,
Connecticut,"New England Organ Bank (MAOB), Waltham, MA *  ",1,MA,,
District of Columbia,"Washington Regional Transplant Community (DCTC), Annandale, VA *  ",1,VA,,
Delaware,"Gift of Life Donor Program (PADV), Philadelphia, PA *  ",1,PA,,
Florida,"TransLife (FLFH), Winter Park, FL  ",0,,,
Florida,"Life Alliance Organ Recovery Agency (FLMP), Miami, FL  ",0,,,
Florida,"LifeQuest Organ Recovery Services (FLUF), Gainesville, FL  ",0,,,
Florida,"LifeLink of Florida (FLWC), Tampa, FL  ",0,,,
Georgia,"LifeLink of Georgia (GALL), Norcross, GA  ",0,,,
Georgia,"Alabama Organ Center (ALOB), Birmingham, AL *  ",1,AL,,
Georgia,"Tennessee Donor Services (TNDS), Nashville, TN *  ",1,TN,,
Hawaii,"Organ Donor Center of Hawaii (HIOP), Honolulu, HI  ",0,,,
Iowa,"Iowa Donor Network (IAOP), North Liberty, IA  ",0,,,
Iowa,"Nebraska Organ Recovery System (NEOR), Omaha, NE *  ",1,NE,,
Idaho,"Pacific Northwest Transplant Bank (ORUO), Portland, OR *  ",1,OR,,
Idaho,"Intermountain Donor Services (UTOP), Salt Lake City, UT *  ",1,UT,,
Idaho,"LifeCenter Northwest Organ Donation Network (WALC), Bellevue, WA *  ",1,WA,,
Illinois,"Gift of Hope Organ & Tissue Donor Network (ILIP), Itasca, IL  ",0,,,
Illinois ,"Mid-America Transplant Services (MOMA), St Louis, MO *  ",1,MO,,
Illinois,"University of Wisconsin Organ Procurement Organization (WIUW), Madison, WI *  ",1,WI,,
Indiana,"Indiana Organ Procurement Organization (INOP), Indianapolis, IN  ",0,,,
Indiana,"Gift of Hope Organ & Tissue Donor Network (ILIP), Itasca, IL *  ",1,IL,,
Indiana,"Kentucky Organ Donor Affiliates (KYDA), Louisville, KY *  ",1,KY,,
Indiana,"LifeCenter Organ Donor Network (OHOV), Cincinnati, OH *  ",1,OH,,
Kansas,"Midwest Transplant Network (MWOB), Westwood, KS  ",0,,,
Kentucky,"Kentucky Organ Donor Affiliates (KYDA), Louisville, KY  ",0,,,
Kentucky,"LifeCenter Organ Donor Network (OHOV), Cincinnati, OH *  ",1,OH,,
Kentucky,"Tennessee Donor Services (TNDS), Nashville, TN *  ",1,TN,,
Louisiana,"Louisiana Organ Procurement Agency (LAOP), Metairie, LA  ",0,,,
Massachusetts,"New England Organ Bank (MAOB), Waltham, MA  ",0,,,
Massachusetts,"LifeChoice Donor Services (CTOP), Windsor, CT *  ",1,CT,,
Massachusetts,"Center for Donation and Transplant (NYAP), Albany, NY *  ",1,NY,,
Maryland ,"The Living Legacy Foundation of Maryland (MDPC), Baltimore, MD  ",0,,,
Maryland,"Washington Regional Transplant Community (DCTC), Annandale, VA *  ",1,VA,,
Maine,"New England Organ Bank (MAOB), Waltham, MA *  ",1,MA,,
Michigan,"Gift of Life Michigan (MIOP), Ann Arbor, MI  ",0,,,
Michigan,"University of Wisconsin Organ Procurement Organization (WIUW), Madison, WI *  ",1,WI,,
Minnesota ,"LifeSource Upper Midwest Organ Procurement Organization (MNOP), St. Paul, MN  ",0,,,
Minnesota,"University of Wisconsin Organ Procurement Organization (WIUW), Madison, WI *  ",1,WI,,
Missouri ,"Mid-America Transplant Services (MOMA), St Louis, MO  ",0,,,
Missouri,"Midwest Transplant Network (MWOB), Westwood, KS *  ",1,KS,,
Mississippi,"Mississippi Organ Recovery Agency (MSOP), Jackson, MS  ",0,,,
Mississippi,"Mid-South Transplant Foundation (TNMS), Memphis, TN *  ",1,TN,,
Montana,"LifeCenter Northwest Organ Donation Network (WALC), Bellevue, WA *  ",1,WA,,
North Carolina,"Lifeshare of the Carolinas (NCCM), Charlotte, NC  ",0,,,
North Carolina,"Carolina Donor Services (NCNC), Greenville, NC  ",0,,,
North Carolina,"LifeNet Health (VATB), Virginia Beach, VA *  ",1,VA,,
North Dakota,"LifeSource Upper Midwest Organ Procurement Organization (MNOP), St. Paul, MN *  ",1,MN,,
Nebraska,"Nebraska Organ Recovery System (NEOR), Omaha, NE  ",0,,,
Nebraska,"Iowa Donor Network (IAOP), North Liberty, IA *  ",1,IA,,
New Hampshire,"New England Organ Bank (MAOB), Waltham, MA *  ",1,MA,,
New Jersey,"New Jersey Organ and Tissue Sharing Network OPO (NJTO), New Providence, NJ  ",0,,,
New Jersey,"Gift of Life Donor Program (PADV), Philadelphia, PA *  ",1,PA,,
New Mexico,"New Mexico Donor Services (NMOP), Albuquerque, NM  ",0,,,
Nevada,"Nevada Donor Network (NVLV), Las Vegas, NV  ",0,,,
Nevada,"California Transplant Donor Network (CADN), Oakland, CA *  ",1,CA,,
Nevada,"Intermountain Donor Services (UTOP), Salt Lake City, UT *  ",1,UT,,
New York,"Center for Donation and Transplant (NYAP), Albany, NY  ",0,,,
New York,"Finger Lakes Donor Recovery Network (NYFL), Rochester, NY  ",0,,,
New York,"New York Organ Donor Network (NYRT), New York, NY  ",0,,,
New York,"Upstate New York Transplant Services Inc (NYWN), Buffalo, NY  ",0,,,
New York,"Center for Organ Recovery and Education (PATF), Pittsburgh, PA *  ",1,PA,,
Ohio,"LifeBanc (OHLB), Cleveland, OH  ",0,,,
Ohio,"Life Connection of Ohio (OHLC), Maumee, OH  ",0,,,
Ohio,"Lifeline of Ohio (OHLP), Columbus, OH  ",0,,,
Ohio,"LifeCenter Organ Donor Network (OHOV), Cincinnati, OH  ",0,,,
Ohio,"Kentucky Organ Donor Affiliates (KYDA), Louisville, KY *  ",1,KY,,
Oklahoma,"LifeShare Transplant Donor Services of Oklahoma (OKOP), Oklahoma City, OK  ",0,,,
Oregon,"Pacific Northwest Transplant Bank (ORUO), Portland, OR  ",0,,,
Pennsylvania,"Gift of Life Donor Program (PADV), Philadelphia, PA  ",0,,,
Pennsylvania,"Center for Organ Recovery and Education (PATF), Pittsburgh, PA  ",0,,,
Pennsylvania,"New York Organ Donor Network (NYRT), New York, NY *  ",1,NY,,
Puerto Rico,"LifeLink of Puerto Rico (PRLL), Guaynabo, PR  ",0,,,
Rhode Island,"New England Organ Bank (MAOB), Waltham, MA *  ",1,MA,,
South Carolina,"LifePoint (SCOP), Charleston, SC  ",0,,,
South Carolina ,"LifeLink of Georgia (GALL), Norcross, GA *  ",1,GA,,
South Dakota,"LifeSource Upper Midwest Organ Procurement Organization (MNOP), St. Paul, MN *  ",1,MN,,
Tennessee,"Tennessee Donor Services (TNDS), Nashville, TN  ",0,,,
Tennessee,"Mid-South Transplant Foundation (TNMS), Memphis, TN  ",0,,,
Texas,"LifeGift Organ Donation Center (TXGC), Houston, TX  ",0,,,
Texas,"Texas Organ Sharing Alliance (TXSA), San Antonio, TX  ",0,,,
Texas,"Southwest Transplant Alliance (TXSB), Dallas, TX  ",0,,,
Utah,"Intermountain Donor Services (UTOP), Salt Lake City, UT  ",0,,,
Virginia,"LifeNet Health (VATB), Virginia Beach, VA  ",0,,,
Virginia,"Washington Regional Transplant Community (DCTC), Annandale, VA  ",0,,,
Virginia,"Carolina Donor Services (NCNC), Greenville, NC *  ",1,NC,,
Virginia,"Tennessee Donor Services (TNDS), Nashville, TN *  ",1,TN,,
Vermont,"New England Organ Bank (MAOB), Waltham, MA *  ",1,MA,,
Vermont,"Center for Donation and Transplant (NYAP), Albany, NY *  ",1,NY,,
Washington,"LifeCenter Northwest Organ Donation Network (WALC), Bellevue, WA  ",0,,,
Washington,"Pacific Northwest Transplant Bank (ORUO), Portland, OR *  ",1,OR,,
Wisconsin,"Wisconsin Donor Network (WIDN), Milwaukee, WI  ",0,,,
Wisconsin,"University of Wisconsin Organ Procurement Organization (WIUW), Madison, WI  ",0,,,
Wisconsin,"LifeSource Upper Midwest Organ Procurement Organization (MNOP), St. Paul, MN *  ",1,MN,,
West Virginia,"Kentucky Organ Donor Affiliates (KYDA), Louisville, KY *  ",1,KY,,
West Virginia,"Lifeline of Ohio (OHLP), Columbus, OH *  ",1,OH,,
